,COUNTRY,POP,AREA,GDP,CONT,IND_DAY
CHN,China,1398.72,9596.96,12234.78,Asia,
IND,India,1351.16,3287.26,2575.67,Asia,August 15 1947
USA,US,329.74,9833.52,19485.39,N.America,July 04 1776
IDN,Indonesia,268.07,1910.93,1015.54,Asia,August 17 1945
BRA,Brazil,210.32,8515.77,2055.51,S.America,September 07 1822
PAK,Pakistan,205.71,881.91,302.14,Asia,August 14 1947
NGA,Nigeria,200.96,923.77,375.77,Africa,October 01 1960
BGD,Bangladesh,167.09,147.57,245.63,Asia,March 26 1971
RUS,Russia,146.79,17098.25,1530.75,,June 12 1992
MEX,Mexico,126.58,1964.38,1158.23,N.America,September 16 1810
JPN,Japan,126.22,377.97,4872.42,Asia,
DEU,Germany,83.02,357.11,3693.2,Europe,
FRA,France,67.02,640.68,2582.49,Europe,July 14 1789
GBR,UK,66.44,242.5,2631.23,Europe,
ITA,Italy,60.36,301.34,1943.84,Europe,
ARG,Argentina,44.94,2780.4,637.49,S.America,July 09 1816
DZA,Algeria,43.38,2381.74,167.56,Africa,July 05 1962
CAN,Canada,37.59,9984.67,1647.12,N.America,July 01 1867
AUS,Australia,25.47,7692.02,1408.68,Oceania,
KAZ,Kazakhstan,18.53,2724.9,159.41,Asia,December 16 1991
